CustomerID_Normalized,Orders,Revenue,FirstOrderDate,LastOrderDate,AOV,PurchaseFrequencyPerMonth,RepeatCustomer,CohortMonth
CUST-0001,5,639.6600000000001,2022-06-25,2023-07-23,127.93200000000002,0.38578680203045684,True,2022-06
CUST-0002,13,1419.65,2022-02-24,2023-07-25,109.20384615384616,0.7644100580270793,True,2022-02
CUST-0003,5,434.08,2022-02-26,2023-09-01,86.816,0.2748643761301989,True,2022-02
CUST-0004,13,1337.02,2022-09-05,2023-11-17,102.84769230769231,0.9002277904328018,True,2022-09
CUST-0005,10,1043.68,2022-02-18,2023-11-21,104.36800000000001,0.4735202492211838,True,2022-02
CUST-0006,7,988.39,2023-01-09,2023-09-13,141.19857142857143,0.8580645161290321,True,2023-01
CUST-0007,10,1207.1100000000001,2022-06-19,2023-11-15,120.71100000000001,0.5902912621359223,True,2022-06
CUST-0008,11,1207.82,2022-02-07,2023-12-17,109.80181818181818,0.4924889543446244,True,2022-02
CUST-0009,12,1598.8899999999999,2022-01-06,2023-12-11,133.2408333333333,0.5174468085106383,True,2022-01
CUST-0010,8,874.22,2022-01-31,2023-12-03,109.2775,0.3619047619047619,True,2022-01
CUST-0011,3,477.23,2022-07-24,2023-07-15,159.07666666666668,0.25546218487394956,True,2022-07
CUST-0012,8,945.8399999999999,2022-03-20,2023-11-25,118.22999999999999,0.39480519480519477,True,2022-03
CUST-0013,9,890.43,2022-03-13,2023-08-13,98.93666666666667,0.5271676300578034,True,2022-03
CUST-0014,3,339.6,2022-06-04,2023-03-19,113.2,0.31557093425605537,True,2022-06
CUST-0015,10,981.02,2022-12-21,2023-11-02,98.102,0.9589905362776026,True,2022-12
CUST-0016,6,723.4,2022-01-27,2023-11-21,120.56666666666666,0.2746987951807229,True,2022-01
CUST-0017,14,2334.27,2022-01-04,2023-12-19,166.73357142857142,0.5952447552447553,True,2022-01
CUST-0018,15,1786.09,2023-01-29,2023-11-24,119.07266666666666,1.52,True,2023-01
CUST-0019,13,1252.78,2022-06-17,2023-12-12,96.36769230769231,0.7264705882352941,True,2022-06
CUST-0020,6,573.16,2022-01-02,2023-10-12,95.52666666666666,0.2810477657935285,True,2022-01
CUST-0021,7,588.96,2022-06-26,2023-10-28,84.13714285714286,0.4342857142857143,True,2022-06
CUST-0022,9,514.59,2023-01-10,2023-12-20,57.17666666666667,0.7930434782608695,True,2023-01
CUST-0023,7,742.38,2022-03-17,2023-11-13,106.05428571428571,0.3505766062602965,True,2022-03
CUST-0024,8,840.62,2022-01-01,2023-06-28,105.0775,0.44705882352941173,True,2022-01
CUST-0025,7,1196.3899999999999,2022-01-02,2023-10-18,170.91285714285712,0.3248854961832061,True,2022-01
CUST-0026,16,1724.96,2022-01-30,2023-12-19,107.81,0.7059506531204645,True,2022-01
CUST-0027,6,608.9,2022-04-07,2023-08-21,101.48333333333333,0.3633466135458167,True,2022-04
CUST-0028,7,733.96,2023-03-09,2023-08-19,104.85142857142857,1.297560975609756,True,2023-03
CUST-0029,12,1638.49,2022-07-12,2023-11-15,136.54083333333332,0.7414634146341462,True,2022-07
CUST-0030,8,606.04,2022-01-16,2023-12-05,75.755,0.3529753265602322,True,2022-01
CUST-0031,13,1799.1499999999999,2022-05-07,2023-12-20,138.39615384615382,0.6664418212478921,True,2022-05
CUST-0032,8,1086.54,2023-05-02,2023-12-01,135.8175,1.136448598130841,True,2023-05
CUST-0033,11,1370.3,2022-08-19,2023-12-05,124.57272727272726,0.7054852320675105,True,2022-08
CUST-0034,4,665.14,2022-12-01,2023-11-27,166.285,0.3359116022099447,True,2022-12
CUST-0035,12,741.6800000000001,2022-03-17,2023-11-04,61.80666666666667,0.6100334448160535,True,2022-03
CUST-0036,11,1207.49,2022-07-09,2023-11-01,109.77181818181818,0.6952182952182953,True,2022-07
CUST-0037,8,827.0699999999999,2022-07-21,2023-09-22,103.38374999999999,0.5668997668997668,True,2022-07
CUST-0038,8,970.03,2022-03-06,2023-12-11,121.25375,0.3764705882352941,True,2022-03
CUST-0039,16,1826.24,2022-03-23,2023-12-12,114.14,0.7720634920634921,True,2022-03
CUST-0040,12,1449.66,2022-01-12,2023-11-25,120.805,0.5341142020497803,True,2022-01
CUST-0041,13,1441.3899999999999,2022-08-05,2023-12-12,110.87615384615384,0.7983838383838383,True,2022-08
CUST-0042,11,1774.8799999999999,2022-08-06,2023-12-06,161.35272727272726,0.6852459016393442,True,2022-08
CUST-0043,12,840.84,2022-01-15,2023-12-12,70.07000000000001,0.5233859397417503,True,2022-01
CUST-0044,6,399.81,2022-03-22,2023-11-08,66.635,0.30552763819095474,True,2022-03
CUST-0045,13,2603.86,2022-07-09,2023-12-20,200.2969230769231,0.7456603773584904,True,2022-07
CUST-0046,6,649.69,2022-09-28,2023-12-13,108.28166666666668,0.41266968325791853,True,2022-09
CUST-0047,8,683.12,2022-06-06,2023-11-19,85.39,0.45714285714285713,True,2022-06
CUST-0048,7,997.87,2022-04-15,2023-12-12,142.55285714285714,0.3505766062602965,True,2022-04
CUST-0049,10,1159.13,2022-03-02,2023-09-27,115.91300000000001,0.528695652173913,True,2022-03
CUST-0050,12,1456.3600000000001,2022-04-28,2023-11-13,121.36333333333334,0.6456637168141592,True,2022-04
CUST-0051,9,1160.05,2022-06-18,2023-12-13,128.89444444444445,0.5029411764705882,True,2022-06
CUST-0052,8,797.24,2022-10-26,2023-11-12,99.655,0.6349869451697128,True,2022-10
CUST-0053,13,1792.93,2022-01-15,2023-12-19,137.9176923076923,0.5613636363636363,True,2022-01
CUST-0054,6,604.87,2022-06-11,2023-11-10,100.81166666666667,0.3521235521235521,True,2022-06
CUST-0055,11,1431.3,2022-05-07,2023-12-06,130.11818181818182,0.5775474956822106,True,2022-05
CUST-0056,7,686.77,2022-01-20,2023-05-09,98.11,0.448,True,2022-01
CUST-0057,13,1558.37,2022-02-28,2023-07-11,119.87461538461538,0.7919839679358717,True,2022-02
CUST-0058,7,946.97,2022-08-11,2023-12-14,135.28142857142856,0.4334012219959267,True,2022-08
CUST-0059,11,1091.89,2022-12-09,2023-11-06,99.26272727272728,1.004204204204204,True,2022-12
CUST-0060,7,928.47,2022-05-09,2023-09-09,132.63857142857142,0.4351738241308793,True,2022-05
CUST-0061,9,821.1,2022-08-17,2023-12-12,91.23333333333333,0.5664596273291925,True,2022-08
CUST-0062,4,387.07,2022-01-04,2023-09-02,96.7675,0.200329489291598,True,2022-01
CUST-0063,10,1452.8700000000001,2022-03-04,2023-10-31,145.287,0.500823723228995,True,2022-03
CUST-0064,10,1326.8700000000001,2022-01-10,2023-12-16,132.687,0.4305949008498583,True,2022-01
CUST-0065,12,1585.9399999999998,2022-05-18,2023-11-13,132.16166666666666,0.6693577981651375,True,2022-05
CUST-0066,8,750.08,2022-08-03,2023-12-15,93.76,0.48639999999999994,True,2022-08
CUST-0067,15,1542.19,2022-04-10,2023-12-20,102.81266666666667,0.7354838709677419,True,2022-04
CUST-0068,9,819.55,2022-03-04,2023-07-10,91.0611111111111,0.5538461538461539,True,2022-03
CUST-0069,11,1283.41,2022-01-12,2023-12-10,116.67363636363638,0.4790830945558739,True,2022-01
CUST-0070,14,1593.44,2022-02-01,2023-11-20,113.81714285714285,0.6468085106382978,True,2022-02
CUST-0071,5,642.33,2022-08-08,2023-10-08,128.466,0.35597189695550346,True,2022-08
CUST-0072,12,1372.16,2022-05-04,2023-12-18,114.34666666666668,0.6141414141414141,True,2022-05
CUST-0073,10,1365.72,2022-09-06,2023-12-06,136.572,0.6652078774617067,True,2022-09
CUST-0074,8,956.88,2022-04-20,2023-12-19,119.61,0.3993431855500821,True,2022-04
CUST-0075,14,1681.79,2022-01-12,2023-11-22,120.12785714285714,0.6258823529411764,True,2022-01
CUST-0076,11,1651.3799999999999,2022-05-19,2023-12-09,150.12545454545455,0.5866666666666667,True,2022-05
CUST-0077,9,1209.42,2022-07-01,2023-11-24,134.38,0.534375,True,2022-07
CUST-0078,14,1522.8,2022-01-14,2023-12-14,108.77142857142857,0.608,True,2022-01
CUST-0079,7,983.65,2022-04-18,2023-09-21,140.52142857142857,0.4076628352490421,True,2022-04
CUST-0080,6,683.6700000000001,2023-01-05,2023-09-28,113.94500000000001,0.6831460674157303,True,2023-01
CUST-0081,7,1174.62,2022-04-08,2023-12-08,167.80285714285714,0.3488524590163934,True,2022-04
CUST-0082,9,1222.43,2022-04-01,2023-12-06,135.82555555555555,0.4448780487804878,True,2022-04
CUST-0083,7,532.4,2022-03-18,2023-07-26,76.05714285714285,0.42903225806451606,True,2022-03
CUST-0084,10,1107.87,2022-04-23,2023-11-13,110.78699999999999,0.5333333333333333,True,2022-04
CUST-0085,15,1674.07,2022-01-23,2023-10-13,111.60466666666666,0.724960254372019,True,2022-01
CUST-0086,9,1017.5699999999999,2022-03-15,2023-09-26,113.06333333333333,0.4877005347593582,True,2022-03
CUST-0087,7,966.9399999999999,2022-12-26,2023-05-22,138.1342857142857,1.4378378378378378,True,2022-12
CUST-0088,7,854.91,2022-01-07,2023-11-28,122.13,0.30795947901591897,True,2022-01
CUST-0089,10,1156.93,2022-08-17,2023-12-20,115.69300000000001,0.6191446028513238,True,2022-08
CUST-0090,11,1182.5900000000001,2022-02-20,2023-12-20,107.50818181818182,0.4998505231689088,True,2022-02
CUST-0091,8,710.56,2022-03-03,2023-12-04,88.82,0.37881619937694705,True,2022-03
CUST-0092,15,1271.96,2022-01-15,2023-11-27,84.79733333333334,0.6686217008797654,True,2022-01
CUST-0093,7,752.4599999999999,2023-02-01,2023-09-26,107.49428571428571,0.8941176470588235,True,2023-02
CUST-0094,9,1092.75,2023-02-06,2023-12-18,121.41666666666667,0.8658227848101265,True,2023-02
